Date,Price,Returns
2014-10-01,108.40667724609376,
2014-10-02,107.97189331054688,-0.004010674864241892
2014-10-03,109.8761978149414,0.017637039103476804
2014-10-06,109.78923034667967,-0.0007915041655173205
2014-10-07,107.23277282714844,-0.02328513927512521
2014-10-08,108.67623901367188,0.013461054381669335
2014-10-09,106.74581909179688,-0.017763035778521452
2014-10-10,105.65020751953124,-0.010263742239154716
2014-10-13,104.7371826171875,-0.008641960330981302
2014-10-14,106.3371353149414,0.01527588061635865
2014-10-15,104.5110855102539,-0.017172268175922212
2014-10-16,104.59805297851562,0.0008321363024517137
2014-10-17,107.1632308959961,0.024524145951429377
2014-10-20,108.09362030029295,0.008681983517274006
2014-10-21,110.5370635986328,0.02260487983982551
2014-10-22,105.60672760009766,-0.04460346455771169
2014-10-23,106.1110382080078,0.004775364405001037
2014-10-24,106.29366302490234,0.0017210727552825489
2014-10-27,106.18931579589844,-0.0009816881461640614
2014-10-28,107.48494720458984,0.012201146593520562
2014-10-29,107.02409362792967,-0.00428761039239256
2014-10-30,107.66755676269533,0.006012320337910548
2014-10-31,108.61536407470705,0.00880309111221611
2014-11-03,109.5892562866211,0.008966431408766296
2014-11-04,109.42405700683594,-0.001507440468006216
2014-11-05,108.64562225341795,-0.007113926998423725
2014-11-06,108.96050262451172,0.002898233399218686
2014-11-07,108.84679412841795,-0.0010435753631351519
2014-11-10,109.01297760009766,0.0015267649636390157
2014-11-11,109.64269256591795,0.005776513766373226
2014-11-12,110.08876037597656,0.004068377012817592
2014-11-13,112.41524505615234,0.021132808401423953
2014-11-14,112.70388793945312,0.002567648926590005
2014-11-17,112.3190460205078,-0.0034146285987229907
2014-11-18,114.27820587158205,0.017442810640650785
2014-11-19,115.10907745361328,0.007270604011450077
2014-11-20,115.18782043457033,0.0006840727308301542
2014-11-21,116.13237762451172,0.008200148126580098
2014-11-24,117.73297882080078,0.013782557707242127
2014-11-25,117.90785217285156,0.001485338719892093
2014-11-26,117.88162231445312,-0.0002224606581755495
2014-11-28,117.51429748535156,-0.003116048302437724
2014-12-01,115.79129028320312,-0.014662106986285783
2014-12-02,115.69507598876952,-0.0008309285974643643
2014-12-03,115.42395782470705,-0.002343385504917972
2014-12-04,114.85545349121094,-0.0049253581683578185
2014-12-05,115.63387298583984,0.0067773838417561905
2014-12-08,113.94583892822266,-0.014598093223288422
2014-12-09,113.40357971191406,-0.00475892074172346
2014-12-10,109.01297760009766,-0.038716609501835086
2014-12-11,107.9021987915039,-0.010189418113763726
2014-12-12,105.62818145751952,-0.021074800694084073
2014-12-15,106.77392578125,0.010846956824597687
2014-12-16,108.67188262939452,0.017775471251594732
2014-12-17,109.38030242919922,0.006518887707325671
2014-12-18,109.91382598876952,0.004877693220090018
2014-12-19,110.40362548828124,0.00445621372111793
2014-12-22,112.14411926269533,0.015764824449527204
2014-12-23,113.72718811035156,0.014116378621226833
2014-12-24,114.7854995727539,0.009305703235847673
2014-12-26,115.1265869140625,0.0029715194216879404
2014-12-29,115.70382690429688,0.005013959031594073
2014-12-30,115.30149841308594,-0.003477227175413322
2014-12-31,113.68345642089844,-0.014033139329990396
2015-01-02,113.65721893310548,-0.00023079424763272627
2015-01-05,112.87005615234376,-0.006925761409180775
2015-01-06,111.54063415527344,-0.011778340884990524
2015-01-07,113.27238464355467,0.015525736440322735
2015-01-08,115.2752914428711,0.01768221624025279
2015-01-09,115.0478515625,-0.001973015010626189
2015-01-12,114.46188354492188,-0.00509325475982314
2015-01-13,114.72425842285156,0.002292246727066294
2015-01-14,114.0333023071289,-0.006022755128003765
2015-01-15,113.82340240478516,-0.0018406895011987556
2015-01-16,114.3831558227539,0.004917735774389476
2015-01-20,114.7679672241211,0.003364231373048421
2015-01-21,115.8087921142578,0.009068949423005401
2015-01-22,118.6338119506836,0.024393828696862796
2015-01-23,117.74169158935548,-0.007519950228851879
2015-01-26,117.26065826416016,-0.004085496978190273
2015-01-27,115.87000274658205,-0.01185952337437246
2015-01-28,122.13230895996094,0.05404596586637789
2015-01-29,129.25172424316406,0.05829264462311201
2015-01-30,127.14392852783205,-0.01630767966674529
2015-02-02,127.92233276367188,0.006122228916887851
2015-02-03,128.86688232421875,0.007383773733175003
2015-02-04,128.76197814941406,-0.0008140506925646829
2015-02-05,129.96893310546875,0.009373535366582697
2015-02-06,129.4441375732422,-0.004037853660002644
2015-02-09,129.0768280029297,-0.002837591390376204
2015-02-10,129.4791259765625,0.003116732723116522
2015-02-11,130.17431640625,0.005369131313207598
2015-02-12,130.323974609375,0.0011496753526858416
2015-02-13,131.76722717285156,0.011074344285481486
2015-02-17,131.9344482421875,0.0012690641893571275
2015-02-18,133.0345001220703,0.00833786698272676
2015-02-19,135.30494689941406,0.01706660133469451
2015-02-20,139.31787109375,0.02965837012093253
2015-02-23,136.17617797851562,-0.022550539213452847
2015-02-24,135.85939025878906,-0.0023263079081022875
2015-02-25,134.65371704101562,-0.008874419467633676
2015-02-26,133.5272674560547,-0.008365529074981448
2015-02-27,132.7528533935547,-0.0057996698146681736
2015-03-02,135.34893798828125,0.019555772462609866
2015-03-03,136.90663146972656,0.01150872333834041
2015-03-04,135.83297729492188,-0.007842236444493222
2015-03-05,135.93858337402344,0.0007774701048646193
2015-03-06,134.7505340576172,-0.008739603480620639
2015-03-09,136.1849822998047,0.010645213781298679
2015-03-10,134.13450622558594,-0.015056550579892303
2015-03-11,133.0345001220703,-0.008200769022593257
2015-03-12,133.8000946044922,0.005754856685441512
2015-03-13,133.38650512695312,-0.003091100038169703
